uid,variant_number,gender,days_since_signup,contributor,new_user,non_reader,reader,appearences,active_mins,avg_time_per_user
0,0,1.0,135,0,0,1,0,13,43.0,3.3076923076923075
1,0,1.0,821,0,0,0,1,95,15205.0,160.05263157894737
2,0,1.0,142,0,0,1,0,7,17.0,2.4285714285714284
3,0,1.0,339,0,0,1,0,24,77.0,3.2083333333333335
4,0,1.0,699,0,0,1,0,20,39.0,1.95
5,0,0.0,226,0,0,1,0,14,174.0,12.428571428571429
6,0,0.0,745,0,0,1,0,13,26.0,2.0
7,0,1.0,908,0,0,1,0,7,21.0,3.0
9,0,0.0,280,0,0,1,0,9,42.0,4.666666666666667
10,0,1.0,1821,0,0,1,0,31,127.0,4.096774193548387
11,0,0.0,263,0,0,1,0,24,142.0,5.916666666666667
13,0,1.0,335,0,0,1,0,6,17.0,2.8333333333333335
14,0,1.0,294,0,0,1,0,2,3.0,1.5
15,0,1.0,476,0,0,0,1,12,35.0,2.9166666666666665
16,0,0.0,63,0,0,1,0,18,56.0,3.111111111111111
17,0,0.0,241,0,0,0,1,89,5462.0,61.37078651685393
18,0,1.0,2058,0,0,1,0,2,2.0,1.0
19,0,0.0,319,0,0,0,1,34,551.0,16.205882352941178
20,0,1.0,328,0,0,1,0,34,77.0,2.264705882352941
21,0,1.0,1565,0,0,1,0,6,11.0,1.8333333333333333
22,0,1.0,4,0,1,0,0,7,19.0,2.7142857142857144
23,0,0.0,176,0,0,1,0,10,58.0,5.8
24,0,0.0,505,0,0,1,0,35,130.0,3.7142857142857144
25,0,1.0,1257,0,0,0,1,33,359.0,10.878787878787879
26,0,0.0,27,0,0,1,0,6,10.0,1.6666666666666667
29,0,1.0,805,0,0,0,1,81,3787.0,46.75308641975309
30,0,1.0,689,1,0,0,0,56,771.0,13.767857142857142
31,0,0.0,80,0,0,1,0,18,42.0,2.3333333333333335
32,0,1.0,156,0,0,1,0,12,36.0,3.0
34,0,1.0,603,0,0,1,0,16,72.0,4.5
36,0,0.0,979,0,0,0,1,21,317.0,15.095238095238095
37,0,0.0,163,0,0,1,0,7,23.0,3.2857142857142856
38,0,1.0,105,0,0,0,1,50,1099.0,21.98
39,0,1.0,2151,0,0,0,1,30,164.0,5.466666666666667
40,0,0.0,247,0,0,1,0,5,8.0,1.6
41,0,1.0,1617,0,0,1,0,25,97.0,3.88
42,0,0.0,10,0,1,0,0,1,1.0,1.0
43,0,0.0,1045,0,0,1,0,15,28.0,1.8666666666666667
45,0,1.0,278,0,0,1,0,1,3.0,3.0
46,0,1.0,1336,0,0,1,0,14,42.0,3.0
47,0,1.0,84,0,0,1,0,2,10.0,5.0
49,0,1.0,38,0,0,1,0,7,13.0,1.8571428571428572
50,0,1.0,891,0,0,0,1,33,123.0,3.727272727272727
51,0,1.0,225,0,0,1,0,16,40.0,2.5
53,0,1.0,1031,0,0,1,0,20,35.0,1.75
54,0,0.0,1006,0,0,1,0,9,20.0,2.2222222222222223
56,0,1.0,1191,0,0,1,0,17,68.0,4.0
58,0,1.0,1379,0,0,0,1,54,607.0,11.24074074074074
59,0,1.0,1346,0,0,1,0,6,14.0,2.3333333333333335
60,0,1.0,1275,0,0,1,0,16,65.0,4.0625
61,0,1.0,117,0,0,1,0,3,3.0,1.0
62,0,1.0,1517,1,0,0,0,30,193.0,6.433333333333334
63,0,0.0,54,0,0,1,0,18,37.0,2.0555555555555554
64,0,1.0,49,0,0,1,0,6,20.0,3.3333333333333335
68,0,0.0,624,0,0,1,0,1,2.0,2.0
69,0,1.0,2003,0,0,0,1,89,3117.0,35.02247191011236
70,0,1.0,133,0,0,1,0,13,29.0,2.230769230769231
71,0,1.0,754,0,0,1,0,20,111.0,5.55
72,0,1.0,143,0,0,1,0,13,38.0,2.923076923076923
73,0,1.0,344,0,0,0,1,55,1413.0,25.69090909090909
74,0,1.0,1282,0,0,1,0,14,31.0,2.2142857142857144
75,0,1.0,816,0,0,1,0,34,188.0,5.529411764705882
76,0,1.0,2087,0,0,1,0,9,30.0,3.3333333333333335
77,0,0.0,219,0,0,1,0,13,34.0,2.6153846153846154
80,0,1.0,1951,0,0,0,1,3,30.0,10.0
84,0,0.0,1859,0,0,0,1,59,1385.0,23.47457627118644
87,0,1.0,1025,0,0,1,0,14,47.0,3.357142857142857
88,0,0.0,273,0,0,1,0,27,160.0,5.925925925925926
89,0,1.0,234,0,0,0,1,55,345.0,6.2727272727272725
90,0,0.0,713,0,0,1,0,9,20.0,2.2222222222222223
91,0,1.0,202,0,0,1,0,17,45.0,2.6470588235294117
92,0,0.0,63,0,0,1,0,40,119.0,2.975
95,0,0.0,43,0,0,1,0,2,3.0,1.5
