uid,variant_number,gender,days_since_signup,contributor,new_user,non_reader,reader,appearences,active_mins,avg_time_per_user
40001,1,1.0,648,0,0,1,0,32,299.0,9.34375
40002,1,1.0,1264,0,0,1,0,26,183.0,7.038461538461538
40004,1,0.0,1396,0,0,1,0,9,56.0,6.222222222222222
40005,1,0.0,703,0,0,1,0,36,289.0,8.027777777777779
40006,1,0.0,964,0,0,1,0,36,194.0,5.388888888888889
40007,1,0.0,632,0,0,1,0,15,75.0,5.0
40008,1,1.0,601,0,0,1,0,35,359.0,10.257142857142858
40009,1,0.0,439,0,0,1,0,33,553.0,16.757575757575758
40010,1,0.0,1980,0,0,1,0,5,21.0,4.2
40011,1,1.0,1243,0,0,1,0,12,153.0,12.75
40012,1,1.0,461,0,0,1,0,22,234.0,10.636363636363637
40013,1,1.0,258,0,0,1,0,40,517.0,12.925
40014,1,1.0,205,0,0,1,0,5,13.0,2.6
40016,1,1.0,1136,0,0,0,1,56,3171.0,56.625
40017,1,0.0,377,0,0,1,0,5,26.0,5.2
40018,1,1.0,1411,0,0,1,0,9,85.0,9.444444444444445
40019,1,1.0,93,0,0,1,0,31,324.0,10.451612903225806
40020,1,1.0,676,0,0,0,1,41,538.0,13.121951219512194
40021,1,1.0,27,0,0,1,0,24,217.0,9.041666666666666
40022,1,1.0,266,0,0,0,1,48,486.0,10.125
40024,1,1.0,1502,0,0,1,0,16,164.0,10.25
40025,1,1.0,1128,1,0,0,0,57,5156.0,90.45614035087719
40026,1,1.0,1746,0,0,1,0,7,38.0,5.428571428571429
40027,1,1.0,58,0,0,1,0,1,5.0,5.0
40028,1,0.0,506,0,0,1,0,7,25.0,3.5714285714285716
40030,1,0.0,208,0,0,1,0,5,21.0,4.2
40031,1,1.0,234,0,0,1,0,1,2.0,2.0
40032,1,0.0,83,0,0,1,0,6,19.0,3.1666666666666665
40033,1,1.0,523,1,0,0,0,70,9244.0,132.05714285714285
40034,1,1.0,604,0,0,1,0,17,103.0,6.0588235294117645
40035,1,0.0,281,0,0,1,0,1,2.0,2.0
40036,1,1.0,230,0,0,1,0,8,23.0,2.875
40038,1,1.0,2175,0,0,1,0,10,35.0,3.5
40039,1,1.0,618,0,0,1,0,25,108.0,4.32
40041,1,1.0,401,1,0,0,0,3,89.0,29.666666666666668
40042,1,0.0,10,0,1,0,0,2,3.0,1.5
40043,1,1.0,246,0,0,1,0,13,182.0,14.0
40044,1,1.0,626,1,0,0,0,16,57.0,3.5625
40045,1,1.0,542,0,0,1,0,12,59.0,4.916666666666667
40046,1,1.0,751,0,0,1,0,11,44.0,4.0
40047,1,1.0,722,0,0,1,0,26,137.0,5.269230769230769
40048,1,0.0,580,0,0,1,0,2,2.0,1.0
40049,1,1.0,138,0,0,1,0,17,84.0,4.9411764705882355
40050,1,1.0,2116,0,0,1,0,16,259.0,16.1875
40052,1,1.0,1407,0,0,1,0,17,88.0,5.176470588235294
40053,1,1.0,418,0,0,1,0,44,327.0,7.431818181818182
40054,1,0.0,1004,0,0,1,0,14,75.0,5.357142857142857
40057,1,1.0,644,0,0,0,1,40,1137.0,28.425
40058,1,1.0,1180,0,0,1,0,32,220.0,6.875
40059,1,1.0,1768,0,0,1,0,32,300.0,9.375
40060,1,1.0,104,0,0,1,0,1,3.0,3.0
40061,1,0.0,214,0,0,1,0,2,7.0,3.5
40062,1,0.0,208,0,0,1,0,13,81.0,6.230769230769231
40063,1,0.0,645,0,0,1,0,2,10.0,5.0
40064,1,0.0,32,0,0,1,0,3,53.0,17.666666666666668
40065,1,1.0,1138,0,0,1,0,16,101.0,6.3125
40068,1,1.0,1027,0,0,1,0,59,683.0,11.576271186440678
40069,1,0.0,736,0,0,1,0,10,67.0,6.7
40070,1,1.0,589,0,0,1,0,22,133.0,6.045454545454546
40071,1,0.0,257,0,0,1,0,1,9.0,9.0
40072,1,1.0,1051,0,0,1,0,43,431.0,10.023255813953488
40073,1,0.0,918,0,0,1,0,57,457.0,8.017543859649123
40074,1,1.0,825,0,0,1,0,21,256.0,12.19047619047619
40075,1,1.0,118,0,0,1,0,8,47.0,5.875
40076,1,1.0,264,0,0,0,1,36,742.0,20.61111111111111
40077,1,1.0,769,0,0,1,0,27,150.0,5.555555555555555
40080,1,1.0,593,0,0,1,0,3,5.0,1.6666666666666667
40081,1,1.0,14,0,1,0,0,5,14.0,2.8
40083,1,1.0,75,0,0,1,0,7,27.0,3.857142857142857
40084,1,1.0,1250,0,0,1,0,16,130.0,8.125
40085,1,0.0,8,0,1,0,0,6,43.0,7.166666666666667
40087,1,1.0,808,0,0,0,1,34,382.0,11.235294117647058
40088,1,0.0,14,0,1,0,0,2,8.0,4.0
40090,1,0.0,81,0,0,0,1,56,1875.0,33.482142857142854
40091,1,0.0,37,0,0,1,0,7,95.0,13.571428571428571
40092,1,1.0,2888,0,0,1,0,61,1442.0,23.639344262295083
40093,1,1.0,1768,0,0,0,1,86,3431.0,39.895348837209305
40094,1,1.0,943,0,0,0,1,3,74.0,24.666666666666668
40097,1,1.0,2055,0,0,0,1,84,3795.0,45.17857142857143
40098,1,0.0,187,0,0,1,0,7,21.0,3.0
40099,1,0.0,1114,0,0,1,0,6,16.0,2.6666666666666665
40100,1,1.0,259,0,0,1,0,1,4.0,4.0
40101,1,0.0,632,0,0,1,0,14,82.0,5.857142857142857
40102,1,1.0,2326,0,0,1,0,6,84.0,14.0
40103,1,0.0,283,0,0,1,0,10,78.0,7.8
40104,1,1.0,2114,0,0,0,1,32,272.0,8.5
40105,1,0.0,394,0,0,1,0,8,30.0,3.75
40106,1,1.0,2464,0,0,1,0,9,64.0,7.111111111111111
40107,1,0.0,1339,0,0,1,0,7,88.0,12.571428571428571
40108,1,0.0,728,0,0,1,0,7,39.0,5.571428571428571
40109,1,0.0,1218,0,0,1,0,33,285.0,8.636363636363637
40110,1,0.0,760,0,0,0,1,53,1769.0,33.37735849056604
40111,1,0.0,528,0,0,1,0,7,22.0,3.142857142857143
