uid,variant_number,gender,days_since_signup,contributor,new_user,non_reader,reader,appearences,active_mins,avg_time_per_user
0,0,1.0,135,0,0,1,0,21,70.0,3.3333333333333335
1,0,1.0,821,0,0,0,1,121,19158.0,158.3305785123967
2,0,1.0,142,0,0,1,0,10,37.0,3.7
3,0,1.0,339,0,0,1,0,19,108.0,5.684210526315789
4,0,1.0,699,0,0,1,0,28,66.0,2.357142857142857
5,0,0.0,226,0,0,1,0,5,21.0,4.2
6,0,0.0,745,0,0,1,0,6,12.0,2.0
7,0,1.0,908,0,0,1,0,9,34.0,3.7777777777777777
9,0,0.0,280,0,0,1,0,17,52.0,3.0588235294117645
10,0,1.0,1821,0,0,1,0,17,74.0,4.352941176470588
11,0,0.0,263,0,0,1,0,29,96.0,3.310344827586207
13,0,1.0,335,0,0,1,0,13,29.0,2.230769230769231
14,0,1.0,294,0,0,1,0,6,15.0,2.5
15,0,1.0,476,0,0,0,1,98,1523.0,15.540816326530612
16,0,0.0,63,0,0,1,0,4,9.0,2.25
17,0,0.0,241,0,0,0,1,23,717.0,31.17391304347826
18,0,1.0,2058,0,0,1,0,8,33.0,4.125
19,0,0.0,319,0,0,0,1,34,228.0,6.705882352941177
20,0,1.0,328,0,0,1,0,31,127.0,4.096774193548387
21,0,1.0,1565,0,0,1,0,11,25.0,2.272727272727273
22,0,1.0,4,0,1,0,0,2,10.0,5.0
23,0,0.0,176,0,0,1,0,17,61.0,3.588235294117647
24,0,0.0,505,0,0,1,0,10,31.0,3.1
25,0,1.0,1257,0,0,0,1,21,205.0,9.761904761904763
26,0,0.0,27,0,0,1,0,2,17.0,8.5
29,0,1.0,805,0,0,0,1,96,3932.0,40.958333333333336
30,0,1.0,689,1,0,0,0,30,726.0,24.2
31,0,0.0,80,0,0,1,0,22,74.0,3.3636363636363638
32,0,1.0,156,0,0,1,0,18,68.0,3.7777777777777777
34,0,1.0,603,0,0,1,0,9,79.0,8.777777777777779
36,0,0.0,979,0,0,0,1,19,264.0,13.894736842105264
37,0,0.0,163,0,0,1,0,13,29.0,2.230769230769231
38,0,1.0,105,0,0,0,1,34,690.0,20.294117647058822
39,0,1.0,2151,0,0,0,1,79,1063.0,13.455696202531646
40,0,0.0,247,0,0,1,0,3,5.0,1.6666666666666667
41,0,1.0,1617,0,0,1,0,26,112.0,4.3076923076923075
42,0,0.0,10,0,1,0,0,1,8.0,8.0
43,0,0.0,1045,0,0,1,0,9,22.0,2.4444444444444446
45,0,1.0,278,0,0,1,0,10,31.0,3.1
46,0,1.0,1336,0,0,1,0,9,35.0,3.888888888888889
47,0,1.0,84,0,0,1,0,3,9.0,3.0
49,0,1.0,38,0,0,1,0,4,4.0,1.0
50,0,1.0,891,0,0,0,1,70,477.0,6.814285714285714
51,0,1.0,225,0,0,1,0,25,120.0,4.8
53,0,1.0,1031,0,0,1,0,10,17.0,1.7
54,0,0.0,1006,0,0,1,0,15,27.0,1.8
56,0,1.0,1191,0,0,1,0,15,52.0,3.466666666666667
58,0,1.0,1379,0,0,0,1,61,401.0,6.573770491803279
59,0,1.0,1346,0,0,1,0,20,50.0,2.5
60,0,1.0,1275,0,0,1,0,53,340.0,6.415094339622642
61,0,1.0,117,0,0,1,0,6,28.0,4.666666666666667
62,0,1.0,1517,1,0,0,0,54,270.0,5.0
63,0,0.0,54,0,0,1,0,18,30.0,1.6666666666666667
64,0,1.0,49,0,0,1,0,4,10.0,2.5
68,0,0.0,624,0,0,1,0,3,6.0,2.0
69,0,1.0,2003,0,0,0,1,117,3937.0,33.64957264957265
70,0,1.0,133,0,0,1,0,8,22.0,2.75
71,0,1.0,754,0,0,1,0,26,76.0,2.923076923076923
72,0,1.0,143,0,0,1,0,9,23.0,2.5555555555555554
73,0,1.0,344,0,0,0,1,71,2234.0,31.464788732394368
74,0,1.0,1282,0,0,1,0,20,54.0,2.7
75,0,1.0,816,0,0,1,0,28,88.0,3.142857142857143
76,0,1.0,2087,0,0,1,0,6,14.0,2.3333333333333335
77,0,0.0,219,0,0,1,0,6,14.0,2.3333333333333335
80,0,1.0,1951,0,0,0,1,40,366.0,9.15
84,0,0.0,1859,0,0,0,1,61,463.0,7.590163934426229
87,0,1.0,1025,0,0,1,0,8,15.0,1.875
