uid,variant_number,gender,days_since_signup,contributor,new_user,non_reader,reader,appearences,active_mins,avg_time_per_user
40001,1,1.0,648,0,0,1,0,24,125.0,5.208333333333333
40002,1,1.0,1264,0,0,1,0,23,90.0,3.9130434782608696
40004,1,0.0,1396,0,0,1,0,7,10.0,1.4285714285714286
40005,1,0.0,703,0,0,1,0,59,638.0,10.813559322033898
40006,1,0.0,964,0,0,1,0,17,64.0,3.764705882352941
40007,1,0.0,632,0,0,1,0,24,57.0,2.375
40008,1,1.0,601,0,0,1,0,47,314.0,6.680851063829787
40009,1,0.0,439,0,0,1,0,6,13.0,2.1666666666666665
40010,1,0.0,1980,0,0,1,0,28,151.0,5.392857142857143
40011,1,1.0,1243,0,0,1,0,11,41.0,3.727272727272727
40012,1,1.0,461,0,0,1,0,55,530.0,9.636363636363637
40013,1,1.0,258,0,0,1,0,42,948.0,22.571428571428573
40014,1,1.0,205,0,0,1,0,7,16.0,2.2857142857142856
40016,1,1.0,1136,0,0,0,1,68,3601.0,52.955882352941174
40017,1,0.0,377,0,0,1,0,6,16.0,2.6666666666666665
40018,1,1.0,1411,0,0,1,0,19,70.0,3.6842105263157894
40019,1,1.0,93,0,0,1,0,9,31.0,3.4444444444444446
40020,1,1.0,676,0,0,0,1,32,127.0,3.96875
40021,1,1.0,27,0,0,1,0,3,7.0,2.3333333333333335
40022,1,1.0,266,0,0,0,1,30,186.0,6.2
40024,1,1.0,1502,0,0,1,0,30,143.0,4.766666666666667
40025,1,1.0,1128,1,0,0,0,60,2178.0,36.3
40026,1,1.0,1746,0,0,1,0,15,44.0,2.933333333333333
40027,1,1.0,58,0,0,1,0,3,5.0,1.6666666666666667
40028,1,0.0,506,0,0,1,0,16,58.0,3.625
40030,1,0.0,208,0,0,1,0,6,11.0,1.8333333333333333
40031,1,1.0,234,0,0,1,0,4,7.0,1.75
40032,1,0.0,83,0,0,1,0,7,23.0,3.2857142857142856
40033,1,1.0,523,1,0,0,0,43,1421.0,33.04651162790697
40034,1,1.0,604,0,0,1,0,8,15.0,1.875
40035,1,0.0,281,0,0,1,0,9,28.0,3.111111111111111
40036,1,1.0,230,0,0,1,0,4,7.0,1.75
40038,1,1.0,2175,0,0,1,0,26,44.0,1.6923076923076923
40039,1,1.0,618,0,0,1,0,25,109.0,4.36
40041,1,1.0,401,1,0,0,0,21,305.0,14.523809523809524
40042,1,0.0,10,0,1,0,0,1,9.0,9.0
40043,1,1.0,246,0,0,1,0,26,248.0,9.538461538461538
40044,1,1.0,626,1,0,0,0,19,139.0,7.315789473684211
40045,1,1.0,542,0,0,1,0,3,9.0,3.0
40046,1,1.0,751,0,0,1,0,28,103.0,3.6785714285714284
40047,1,1.0,722,0,0,1,0,25,69.0,2.76
